building_age,office_ratio,floor_efficiency,value_per_sqft,land_value_ratio,lotarea,bldgarea,officearea,numfloors,assessland,assesstot,yearbuilt,transaction_count,deed_count,mortgage_count,mta_accessibility_proxy,business_density_proxy,construction_activity_proxy,commercial_ratio,distress_score,target_high_vacancy_risk,BBL
68.0,1.0,1175.0,88.27659574468085,0.3058568329718004,2350.0,2350.0,2350.0,2.0,63450.0,207450.0,1957.0,0.0,,,,,0.0186186214695359,1.0,0.0,0,40534600010
61.0,1.0,5187.0,64.45922498554077,0.2355316285329744,3880.0,5187.0,5187.0,1.0,78750.0,334350.0,1964.0,0.0,,,,,0.396297697836672,1.0,0.0,0,40488900440
65.0,1.0,6250.0,87.372,0.2183765966213432,11050.0,12500.0,12500.0,2.0,238500.0,1092150.0,1960.0,0.0,,,,,0.3836498486503514,1.0,0.0,0,40536800050
85.0,1.0,1324.0,112.66993957703929,0.6003016591251885,3445.0,2648.0,2648.0,2.0,179100.0,298350.0,1940.0,0.0,,,,,0.2901571139946372,1.0,0.0,1,40537300320
85.0,1.0,1323.5,112.37249716660372,0.5355521936459909,2001.0,2647.0,2647.0,2.0,159300.0,297450.0,1940.0,0.0,,,,,0.8681769650824311,1.0,0.0,0,40537300340
75.0,0.0,2610.0,74.39655172413794,0.2085747392815759,4500.0,5220.0,0.0,2.0,81000.0,388350.0,1950.0,0.0,,,,,0.9440812954237224,0.6551724137931034,0.0,0,40536700210
75.0,0.5263157894736842,1900.0,94.97368421052632,0.2418952618453865,4750.0,1900.0,1000.0,1.0,43650.0,180450.0,1950.0,0.0,,,,,0.2730580420091202,1.0,0.0,0,40536700190
24.0,0.6666666666666666,1795.5,70.30075187969925,0.249554367201426,4250.0,3591.0,2394.0,2.0,63000.0,252450.0,2001.0,0.0,,,,,0.3132596576643026,0.6666666666666666,0.0,1,40539300070
29.0,1.0,1500.0,95.1,0.1419558359621451,2000.0,3000.0,3000.0,2.0,40500.0,285300.0,1996.0,0.0,,,,,0.7363867809948212,1.0,0.0,0,40539300090
24.0,0.7215189873417721,1659.0,64.69258589511755,0.2662473794549266,4250.0,3318.0,2394.0,2.0,57150.0,214650.0,2001.0,0.0,,,,,0.646452926723847,0.7215189873417721,0.0,0,40539300080
29.0,1.0,1699.5,74.13945278022948,0.1607142857142857,2000.0,3399.0,3399.0,2.0,40500.0,252000.0,1996.0,0.0,,,,,0.7014651383726364,1.0,0.0,0,40539301090
95.0,0.0,2565.6,96.1178671655753,0.3883211678832117,14785.0,6414.0,0.0,2.5,239400.0,616500.0,1930.0,0.0,,,,,0.506080849700809,0.7427502338634238,0.0,1,40539300170
90.0,1.0,1218.0,112.3152709359606,0.4342105263157895,5694.0,1218.0,1218.0,1.0,59400.0,136800.0,1935.0,0.0,,,,,0.6227577587634638,1.0,0.0,1,40539800110
70.0,1.0,1027.0,98.88023369036028,0.1831610044313146,1536.0,3081.0,3081.0,3.0,55800.0,304650.0,1955.0,0.0,,,,,0.7142549368809559,1.0,0.0,0,40491400160
62.0,1.0,1000.0,84.825,0.1830238726790451,1384.0,2000.0,2000.0,2.0,31050.0,169650.0,1963.0,0.0,,,,,0.6235574967745425,1.0,0.0,0,40491400150
65.0,1.0,600.0,83.5,0.2215568862275449,1482.0,1800.0,1800.0,3.0,33300.0,150300.0,1960.0,0.0,,,,,0.4975808497774778,1.0,0.0,0,40489000800
61.0,1.0,1920.0,120.5859375,0.2332361516034985,4000.0,3840.0,3840.0,2.0,108000.0,463050.0,1964.0,0.0,,,,,0.993144836423476,1.0,0.0,0,40544100270
75.0,0.8414574101427869,4062.0,81.25923190546528,0.4703476482617587,7267.0,8124.0,6836.0,2.0,310500.0,660150.0,1950.0,0.0,,,,,0.5980595383879296,1.0,0.0,0,40541900410
75.0,0.925925925925926,4050.0,91.27777777777776,0.3651856360316494,7500.0,8100.0,7500.0,2.0,270000.0,739350.0,1950.0,0.0,,,,,0.7334302720391711,1.0,0.0,0,40541900390
115.0,1.0,800.0,90.28125,0.1619937694704049,1650.0,1600.0,1600.0,2.0,23400.0,144450.0,1910.0,0.0,,,,,0.1969423046349681,1.0,0.0,1,40533600390
63.0,1.0,5509.0,133.88092212742785,0.5176937156802929,28764.0,11018.0,11018.0,2.0,763650.0,1475100.0,1962.0,0.0,,,,,0.0433828228303821,1.0,0.0,0,40527800210
16.0,1.0,1322.0,92.0196671709531,0.2046855733662145,2000.0,3966.0,3966.0,3.0,74700.0,364950.0,2009.0,0.0,,,,,0.4933296817958104,1.0,0.0,0,40527800090
16.0,1.0,1280.0,116.8359375,0.1845536609829488,2000.0,3840.0,3840.0,3.0,82800.0,448650.0,2009.0,0.0,,,,,0.0799716800957681,1.0,0.0,0,40527800100
37.0,0.4090909090909091,14666.666666666666,69.42272727272727,0.1306717737183264,17945.0,44000.0,18000.0,3.0,399150.0,3054600.0,1988.0,0.0,,,,,0.5081373259527083,1.0,0.0,0,40527700250
105.0,0.9490575649516046,1963.0,109.80641874681608,0.1252609603340292,3000.0,3926.0,3726.0,2.0,54000.0,431100.0,1920.0,0.0,,,,,0.5239013435256984,1.0,0.0,1,40542000320
95.0,1.0,2037.5,79.50920245398773,0.1472222222222222,2177.0,4075.0,4075.0,2.0,47700.0,324000.0,1930.0,0.0,,,,,0.1101509667993845,1.0,0.0,1,40533600010
94.0,1.0,11562.0,180.90295796574983,0.1768502581755593,13700.0,11562.0,11562.0,1.0,369900.0,2091600.0,1931.0,0.0,,,,,0.9734171969818308,1.0,0.0,0,40544200780
94.0,0.4330237793724497,9476.0,81.86998733642888,0.1179427687548337,10163.0,28428.0,12310.0,3.0,274500.0,2327400.0,1931.0,0.0,,,,,0.6235974744869842,1.0,0.0,0,40526500010
94.0,0.75,4900.0,63.642857142857146,0.2554112554112554,5855.0,9800.0,7350.0,2.0,159300.0,623700.0,1931.0,0.0,,,,,0.0241186434719716,1.0,0.0,0,40528500270
95.0,1.0,2345.0,77.71855010660981,0.1728395061728395,2345.0,4690.0,4690.0,2.0,63000.0,364500.0,1930.0,0.0,,,,,0.5899749510126078,1.0,0.0,0,40533800050
13.0,1.0,1500.0,44.5,0.3595505617977528,1998.0,4500.0,4500.0,3.0,72000.0,200250.0,2012.0,0.0,,,,,0.0830325203248616,1.0,0.0,0,40546000320
